contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,id,id_str,is_translation_enabled,is_translator,lang,listed_count,location,name,notifications,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_banner_url,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,statuses_count,time_zone,translator_type,url,utc_offset,verified,knownBot
False,Sun Feb 01 15:48:52 +0000 2009,False,False,"Geologist, naturalist and gentleman. On board The Beagle with Capt Fitzroy on a voyage around the world",{'urls': []},411,False,23902,False,534,True,False,19863141,19863141,False,False,,714,On board The Beagle,Charles Darwin,False,D9D2DA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/75125076/darwin_normal.jpg,https://pbs.twimg.com/profile_images/75125076/darwin_normal.jpg,2FC2EF,181A1E,252429,666666,True,False,cdarwin,7739,,none,https://t.co/sPaxoC3Ihc,,False,1
False,Mon Feb 16 03:21:00 +0000 2009,True,False,"I am a game bot; reply (tweet or DM) with your word guess.  Alpha.
Support at http://t.co/PocmzU49NP","{'urls': [{'url': 'http://t.co/PocmzU49NP', 'expanded_url': 'http://thesaurusgame.tumblr.com', 'display_url': 'thesaurusgame.tumblr.com', 'indices': [79, 101]}]}",0,False,2883,False,3934,False,False,20959226,20959226,False,False,,39,,Thesaurus Challenge,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/20959226/1394500736,http://pbs.twimg.com/profile_images/443197929361137664/dq1G4OTe_normal.png,https://pbs.twimg.com/profile_images/443197929361137664/dq1G4OTe_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,ThesaurusGame,169717,,none,http://t.co/PocmzU49NP,,False,1
False,Thu May 21 21:25:36 +0000 2009,True,False,"A bot tweeting selected definitions of words based on their appearance in NYT news headlines right now.

(kudos to #NLTK and #WordNet)",{'urls': []},14,False,81,False,42,False,False,41681878,41681878,False,False,,1,"Ontario, Canada",LitNewsBot,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/41681878/1548794370,http://pbs.twimg.com/profile_images/1090346121082298368/7JN6TE_A_normal.jpg,https://pbs.twimg.com/profile_images/1090346121082298368/7JN6TE_A_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,researchinator,5521,,none,,,False,1
False,Mon Nov 09 19:40:13 +0000 2009,True,False,"Douglas Adams Hitchhiker's Trilogy, in Haiku. Made by @Penguin. Using @nate_smith's prosaic - https://t.co/8eO89foSQU","{'urls': [{'url': 'https://t.co/8eO89foSQU', 'expanded_url': 'https://github.com/nathanielksmith/prosaic', 'display_url': 'github.com/nathanielksmit…', 'indices': [94, 117]}]}",4,False,34,False,6,False,False,88741673,88741673,False,False,,9,"Portland, OR",Hitch Haiku,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/88741673/1444519477,http://pbs.twimg.com/profile_images/652986835887505410/Jejgy690_normal.jpg,https://pbs.twimg.com/profile_images/652986835887505410/Jejgy690_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,Hitch_Haiku,11946,,none,,,False,1
False,Sat Jan 29 23:46:42 +0000 2011,False,False,"""The Dawn: A Journal for Australian Women"" Digitised and online @troveaustralia - Help Fix the Text! One article tweeted each day.",{'urls': []},86,False,184,False,134,False,False,244714086,244714086,False,False,,12,Australia,LouisaLawson Journal,False,D4CDB4,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/244714086/1511658757,http://pbs.twimg.com/profile_images/1229443930/louisa-lawson_normal.jpg,https://pbs.twimg.com/profile_images/1229443930/louisa-lawson_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,digitisethedawn,960,,none,http://t.co/4jyQ3GyPeI,,False,1
False,Fri May 13 04:26:10 +0000 2011,False,False,created by @rhysmakesthings,{'urls': []},1,False,29,False,2,False,False,297806001,297806001,False,False,,7,,painting_bot,False,F7FF00,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/297806001/1523253323,http://pbs.twimg.com/profile_images/983221671946477568/iGdfWzRa_normal.jpg,https://pbs.twimg.com/profile_images/983221671946477568/iGdfWzRa_normal.jpg,0084B4,C1EBC7,F5F2DC,1A12EB,True,False,a_painting_bot,682,,none,,,False,1
False,Fri May 27 14:45:42 +0000 2011,False,False,Crítica Musical Instantânea | WIP por @absurdum,{'urls': []},20,False,485,False,10,False,False,306238322,306238322,False,False,,10,Brazil,ResenhaBot,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/899710807692464132/NL-YgbWC_normal.jpg,https://pbs.twimg.com/profile_images/899710807692464132/NL-YgbWC_normal.jpg,CCCCCC,FFFFFF,000000,919191,False,False,resenhabot,5180,,none,,,False,1
False,Sun Nov 20 14:46:24 +0000 2011,False,False,A ajudar todos os amiguinhos a arranjar um telhado amigável... Criado por @mauro_goncalo,{'urls': []},14,False,37,False,61,False,True,417105600,417105600,False,False,,6,Portugal,Pata Amiga,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/417105600/1444205069,http://pbs.twimg.com/profile_images/651669451750932481/ftxsb-kG_normal.jpg,https://pbs.twimg.com/profile_images/651669451750932481/ftxsb-kG_normal.jpg,FA743E,000000,000000,000000,False,False,pata_amiga,424,,none,,,False,1
False,Thu Apr 26 14:14:39 +0000 2012,False,False,Download free books for your Amazon Kindle.,{'urls': []},9,False,4996,False,6,False,False,563838090,563838090,False,False,,163,Amazon Kindle,Hundred Zeros,False,022330,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,,http://pbs.twimg.com/profile_images/2268615212/0ujeup7c7d4sdna3lagw_normal.png,https://pbs.twimg.com/profile_images/2268615212/0ujeup7c7d4sdna3lagw_normal.png,0084B4,000000,C0DFEC,333333,True,False,HundredZeros,17340,,none,http://t.co/hcKzk4Ws7h,,False,1
False,Fri Sep 14 12:29:49 +0000 2012,False,False,"A random Finnish word of the day, by @hugovk.",{'urls': []},0,False,358,False,63,False,False,823217342,823217342,False,False,,22,Finland,Finnish WOTD,False,C6E2EE,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,True,https://pbs.twimg.com/profile_banners/823217342/1418047187,http://pbs.twimg.com/profile_images/431440006519861248/fOiswRG7_normal.png,https://pbs.twimg.com/profile_images/431440006519861248/fOiswRG7_normal.png,18447E,C6E2EE,DAECF4,663B12,True,False,fiwotd,1707,,none,https://t.co/nYVPHgzQ87,,False,1
