contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,id,id_str,is_translation_enabled,is_translator,lang,listed_count,location,name,notifications,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_banner_url,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,statuses_count,time_zone,translator_type,url,utc_offset,verified,knownBot
False,Wed Nov 22 20:28:03 +0000 2006,False,False,"""The Xbox Guy"" 🎮 • 💑@thehappygirl • Twitter & Instagram @majornelson ❌🤳• RT's Earned, Not Given. 🌐Current Destination: The Future",{'urls': []},7,False,1127687,False,5,True,False,15913,15913,False,False,en,11593,In your Xbox,Larry Hryb,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/15913/1531363127,http://pbs.twimg.com/profile_images/933478080349384704/QdBOKzb__normal.jpg,https://pbs.twimg.com/profile_images/933478080349384704/QdBOKzb__normal.jpg,107C10,000000,C4C4C4,324D4F,True,False,majornelson,54804,,none,https://t.co/UNpCOu2HKp,,True,0
False,Wed Nov 29 19:19:02 +0000 2006,False,False,"Inspiring and nurturing the human spirit—one person, one cup, one neighborhood at a time.",{'urls': []},17340,False,11426282,False,96424,True,False,30973,30973,False,False,en,28442,"Seattle, WA",Starbucks Coffee,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/30973/1546973009,http://pbs.twimg.com/profile_images/968173455580397568/Qe0pSZTk_normal.jpg,https://pbs.twimg.com/profile_images/968173455580397568/Qe0pSZTk_normal.jpg,334422,FFFFFF,FFFFFF,000000,True,False,Starbucks,166790,,none,https://t.co/8D4Lu7uWS4,,True,1
False,Wed Jan 10 15:39:03 +0000 2007,False,False,"The best of the @BBC, #MadeInWales • Cymraeg » @BBCCymruFyw • Corporate » @BBCWalesPress • https://t.co/puHwv08WGk • https://t.co/JCMcDC6eeg","{'urls': [{'url': 'https://t.co/puHwv08WGk', 'expanded_url': 'http://facebook.com/bbccymruwales', 'display_url': 'facebook.com/bbccymruwales', 'indices': [91, 114]}, {'url': 'https://t.co/JCMcDC6eeg', 'expanded_url': 'http://Instagr.am/bbccymruwales', 'display_url': 'Instagr.am/bbccymruwales', 'indices': [117, 140]}]}",10641,False,176975,False,230,True,True,622143,622143,False,False,en-gb,1122,🏴󠁧󠁢󠁷󠁬󠁳󠁿,BBC Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿,False,BF273B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/622143/1547812343,http://pbs.twimg.com/profile_images/1036566321096536065/SpjUWx8o_normal.jpg,https://pbs.twimg.com/profile_images/1036566321096536065/SpjUWx8o_normal.jpg,BF273B,FFFFFF,EDEEDE,111111,False,False,BBCWales,140632,,none,https://t.co/Wr6Jj5Htd9,,True,1
False,Sun Jan 28 01:58:49 +0000 2007,False,False,"Original news, reviews, analysis of tech trends, and expert advice on the most fundamental aspects of tech.",{'urls': []},6185,False,1170497,False,1113,False,False,717313,717313,False,False,en,29281,NYC - Boston - Chicago - SF,Ars Technica,False,201F25,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/717313/1407516523,http://pbs.twimg.com/profile_images/2215576731/ars-logo_normal.png,https://pbs.twimg.com/profile_images/2215576731/ars-logo_normal.png,FF5B00,FFFFFF,EEEEEE,333333,True,False,arstechnica,97313,,none,http://t.co/Ul1NPoX9hd,,True,1
False,Wed Jan 31 18:30:03 +0000 2007,False,False,"Professor of #edtech & #media, #education researcher, #consultant, #connected educator, keynote #speaker #open scholar, and father of 4 amazing children!",{'urls': []},27504,False,128848,False,69934,True,True,739293,739293,False,False,en,4385,"University of Regina, Canada.",Dr. Alec Couros,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,https://pbs.twimg.com/profile_banners/739293/1413870084,http://pbs.twimg.com/profile_images/480186733221249027/bzI2RIfo_normal.jpeg,https://pbs.twimg.com/profile_images/480186733221249027/bzI2RIfo_normal.jpeg,009999,EEEEEE,EFEFEF,333333,True,False,courosa,121084,,none,https://t.co/hJctNpUjOT,,True,0
False,Thu Feb 01 07:44:29 +0000 2007,False,False,"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",{'urls': []},10,False,24393975,False,92,True,False,742143,742143,True,False,en,112307,"London, UK",BBC News (World),False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/742143/1485172490,http://pbs.twimg.com/profile_images/875702138680246273/BfQLzf7G_normal.jpg,https://pbs.twimg.com/profile_images/875702138680246273/BfQLzf7G_normal.jpg,1F527B,FFFFFF,FFFFFF,5A5A5A,True,False,BBCWorld,289290,,none,https://t.co/7NEgoMwJy3,,True,1
False,Fri Feb 09 00:35:02 +0000 2007,False,False,It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK  & Download our app 📲https://t.co/Xgo5kjIt8c,"{'urls': [{'url': 'https://t.co/Xgo5kjIt8c', 'expanded_url': 'http://cnn.it/apps', 'display_url': 'cnn.it/apps', 'indices': [136, 159]}]}",1449,False,41183185,False,1111,True,False,759251,759251,True,False,en,137121,,CNN,False,323232,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/759251/1508752874,http://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,004287,000000,EEEEEE,000000,False,False,CNN,222669,,regular,http://t.co/IaghNW8Xm2,,True,1
False,Mon Feb 12 13:38:15 +0000 2007,False,False,"Bestselling Author; Keynote Speaker; President, AmberMac Media; 🤖 Co-host @aieffect, #TheFeed @siriusxm; TV Host @BloombergTV @FastCompany @Shopify 🚀 #Tech",{'urls': []},46789,False,116023,False,23767,True,False,767396,767396,False,False,en,7072,Internet,amber mac,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/767396/1528986477,http://pbs.twimg.com/profile_images/1061702098306269185/YaM6GlRE_normal.jpg,https://pbs.twimg.com/profile_images/1061702098306269185/YaM6GlRE_normal.jpg,ABB8C2,000000,FFFFFF,000000,False,False,ambermac,52817,,none,https://t.co/xnwFxHvOeu,,True,0
False,Mon Feb 19 10:34:40 +0000 2007,False,False,"Serial Tech Entrepreneur from 🇲🇽 living on 🌏 working on AR, VR and Game Development at @wabisabidsign | Also working on: @NerdcorePodcast & @Atomix",{'urls': []},9415,False,110236,False,2605,True,True,780050,780050,False,False,es,1913,🇯🇵 ⇄ 🇲🇽 ⇄ 🇺🇸,"Oscar Yasser Noriega ""Akira""",False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/780050/1347992061,http://pbs.twimg.com/profile_images/681198824761626624/ZIenn5D9_normal.jpg,https://pbs.twimg.com/profile_images/681198824761626624/ZIenn5D9_normal.jpg,4A913C,FFFFFF,E6E6E6,000000,True,False,akirareiko,93310,,none,https://t.co/TGBnV1FEU3,,True,0
False,Fri Feb 23 12:27:26 +0000 2007,False,False,Twitter oficial da BBC Brasil. Aqui você encontra o melhor do nosso conteúdo e participa de um diálogo global. Junte-se a nós!,{'urls': []},398,False,2090741,False,906,True,False,790680,790680,False,False,pt,7342,"Londres, GB, e São Paulo, BR",BBC News Brasil,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/790680/1528366072,http://pbs.twimg.com/profile_images/1004666132253507584/gTEhhS7D_normal.jpg,https://pbs.twimg.com/profile_images/1004666132253507584/gTEhhS7D_normal.jpg,91D2FA,A2B486,FFFFFF,000000,True,False,bbcbrasil,171379,,none,http://t.co/PnlPk1c48g,,True,1
