contributors_enabled,created_at,default_profile,default_profile_image,description,entities,favourites_count,follow_request_sent,followers_count,following,friends_count,geo_enabled,has_extended_profile,id,id_str,is_translation_enabled,is_translator,lang,listed_count,location,name,notifications,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_banner_url,profile_image_url,profile_image_url_https,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,protected,screen_name,statuses_count,time_zone,translator_type,url,utc_offset,verified,knownBot
False,Tue Jul 03 23:31:19 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #6,{'urls': []},563,False,1513,False,1470,False,False,625986322,625986322,False,False,en,11,Massachusetts,Bedford MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000104789624/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000104789624/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/625986322/1518753409,http://pbs.twimg.com/profile_images/964347879228764161/qR9sY7DE_normal.jpg,https://pbs.twimg.com/profile_images/964347879228764161/qR9sY7DE_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,BedfordMAGOP,1772,Atlantic Time (Canada),none,http://t.co/6XKpRDM25F,-10800,False,1
False,Wed Jul 04 00:03:58 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do - #3,{'urls': []},778,False,1476,False,1449,False,False,626005201,626005201,False,False,en,16,Massachusetts,Carlisle MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000115430665/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000115430665/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/626005201/1494555561,http://pbs.twimg.com/profile_images/862854726039199745/50V0PXVc_normal.jpg,https://pbs.twimg.com/profile_images/862854726039199745/50V0PXVc_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,CarlisleMAGOP,1620,,none,http://t.co/ZkcWWRvCSe,,False,1
False,Fri Jul 06 21:21:17 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do - #3,{'urls': []},1103,False,1447,False,1445,False,False,628813356,628813356,False,False,en,11,Massachusetts,Clinton MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000100377024/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000100377024/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/628813356/1494034453,http://pbs.twimg.com/profile_images/860669066524016640/691XqZHU_normal.jpg,https://pbs.twimg.com/profile_images/860669066524016640/691XqZHU_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,ClintonMAGOP,1863,Atlantic Time (Canada),none,http://t.co/ap5l34TcZV,-10800,False,1
False,Mon Jul 09 14:28:02 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #3,{'urls': []},531,False,1308,False,1227,False,False,631136471,631136471,False,False,en,9,Massachusetts,Hudson MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000105034032/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000105034032/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/631136471/1498911971,http://pbs.twimg.com/profile_images/881126845093105664/Pp0FCi2k_normal.jpg,https://pbs.twimg.com/profile_images/881126845093105664/Pp0FCi2k_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,HudsonMAGOP,1146,,none,http://t.co/69t03Fz8,,False,1
False,Mon Jul 16 21:50:48 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #3,{'urls': []},505,False,1481,False,1425,False,False,637314961,637314961,False,False,en,11,Massachusetts,Chelmsford MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000124128107/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000124128107/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/637314961/1495655182,http://pbs.twimg.com/profile_images/867466877651603457/hkldvnsy_normal.jpg,https://pbs.twimg.com/profile_images/867466877651603457/hkldvnsy_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,ChelmsfordMAGOP,1470,Atlantic Time (Canada),none,http://t.co/f4NMsVxLpi,-10800,False,1
False,Tue Jul 17 16:05:50 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #3,{'urls': []},887,False,1652,False,1621,False,False,701307986,701307986,False,False,en,8,Massachusetts,LawrenceMAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000104837236/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000104837236/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/701307986/1494445885,http://pbs.twimg.com/profile_images/862394705765597184/u1cFpVzm_normal.jpg,https://pbs.twimg.com/profile_images/862394705765597184/u1cFpVzm_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,LawrenceMAGOP,1773,Atlantic Time (Canada),none,http://t.co/ap5l34TcZV,-10800,False,1
False,Tue Jul 17 16:18:48 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #3,{'urls': []},1115,False,1522,False,1504,False,False,701329338,701329338,False,False,en,12,"Lowell, Massachusetts",Lowell MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000105315568/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000105315568/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/701329338/1492111650,http://pbs.twimg.com/profile_images/852604219060232192/Tc8MhoPp_normal.jpg,https://pbs.twimg.com/profile_images/852604219060232192/Tc8MhoPp_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,LowellMAGOP,2012,Atlantic Time (Canada),none,http://t.co/dynJvZ70Il,-10800,False,1
False,Tue Jul 24 18:58:49 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #5,{'urls': []},768,False,1764,False,1780,False,False,714763273,714763273,False,False,en,15,Massachusetts,Arlington MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000105343440/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000105343440/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/714763273/1493148028,http://pbs.twimg.com/profile_images/856951104860332032/1X-HCVYr_normal.jpg,https://pbs.twimg.com/profile_images/856951104860332032/1X-HCVYr_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,ArlingtonMAGOP,2055,Atlantic Time (Canada),none,http://t.co/yK64WYsWi7,-10800,False,1
False,Tue Jul 24 19:31:00 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #7,{'urls': []},1496,False,1601,False,1682,False,False,714806485,714806485,False,False,en,16,Massachusetts,Cambridge MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000112376172/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000112376172/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/714806485/1499867409,http://pbs.twimg.com/profile_images/885134186541182978/Irz5gnpJ_normal.jpg,https://pbs.twimg.com/profile_images/885134186541182978/Irz5gnpJ_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,CambridgeMAGOP,3974,Atlantic Time (Canada),none,http://t.co/ap5l34TcZV,-10800,False,1
False,Sat Aug 04 21:08:35 +0000 2012,False,False,We #followback Right-Minded Patriots & Liberty Republicans from any State. Part of the MAGOP Project - Learn More On the Web About What We Do #1,{'urls': []},287,False,925,False,930,False,False,737418163,737418163,False,False,en,10,Massachusetts,Sturbridge MAGOP,False,022330,http://pbs.twimg.com/profile_background_images/378800000118247634/bc9ff5d9e21228676406608cd8311802.jpeg,https://pbs.twimg.com/profile_background_images/378800000118247634/bc9ff5d9e21228676406608cd8311802.jpeg,True,https://pbs.twimg.com/profile_banners/737418163/1520609526,http://pbs.twimg.com/profile_images/972132970269061122/LzvZBAZS_normal.jpg,https://pbs.twimg.com/profile_images/972132970269061122/LzvZBAZS_normal.jpg,0084B4,FFFFFF,C0DFEC,333333,True,False,SturbridgeMAGOP,895,Atlantic Time (Canada),none,http://t.co/df2HJ34JZe,-10800,False,1
